coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
unibright,20 Apr 2018,20 May 2018,30.0,4.0,5,fintech,13,13542375.0,13500000.0,1.0,0.14,10652,0,4885,0.38,2400200,-6.89,-11.93,-23.87,-23.65,3.432,11.0,-0.144,-0.13
boolberry,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,1226,-0.39,-0.18,-2.93,-2.61,-0.015,37.5,0.012,0.155
ai doctor,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
blackcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,21446,0.23,0.26,4.14,4.3,-0.107,4.5,0.007,-0.045
bitcoin atom,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
alphacat,12 Jan 2018,12 Jan 2018,0.0,132.0,12,fintech,N/A,N/A,N/A,N/A,N/A,7540,0,N/A,N/A,474748,-0.19,-0.07,-1.14,-0.56,-0.04,17.0,-0.005,0.02
tao,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,205,-0.01,0.08,1.29,1.44,0.514,-8.0,0.045,-0.03
karma,29 Nov 2017,15 Dec 2017,16.0,160.0,2,fintech,15,10000000.0,10000000.0,1.0,0.01,1217,0,4172,5.91,150439,-0.01,-0.17,-2.67,-2.32,-0.407,7.5,-0.008,-0.025
peerplays,26 Feb 2017,14 May 2017,77.0,375.0,1,entertainment,7,5000000.0,N/A,N/A,4.6,1422,0,4976,1.45,10275,0.25,0.07,1.13,1.59,-0.067,-31.5,0.009,-0.435
i/o coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
uptoken,16 Oct 2017,15 Dec 2017,60.0,160.0,1,fintech,9,18934021.0,35000000.0,0.54,0.1,15,0,2998,2.02,21597500,-0.43,-0.08,-1.21,-0.81,0.935,5.5,-0.012,-0.075
mooncoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,1754,0.35,0.13,2.06,2.14,-0.195,8.5,0.073,-0.025
dmarket,14 Nov 2017,01 Dec 2017,17.0,174.0,2,entertainment,4,19026768.0,53300000.0,0.36,0.63,3436,0,7235,0.54,18992,-0.03,0.06,1.02,1.17,0.157,6.5,0.008,-0.045
hexx,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,1121,0.26,0.14,2.29,2.29,-5.403,12.5,0.506,-0.045
agrello,16 Jul 2017,17 Aug 2017,32.0,280.0,5,saas,13,30100000.0,43200000.0,0.7,0.56,4815,0,14734,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
monetha,31 Aug 2017,31 Aug 2017,0.0,266.0,5,fintech,11,35910000.0,35900000.0,1.0,0.19,4601,0,18868,0.5,2743890,-0.15,-0.11,-1.76,-1.29,-0.161,8.5,0.003,-0.065
incent,1 Sep 2016,1 Sep 2016,0.0,630.0,9,blockchain,7,1000000.0,N/A,N/A,0.1,N/A,0,13212,-0.92,43,0.22,0.14,2.19,2.23,-0.032,-0.5,0.032,-0.045
matchpool,2 Apr 2017,4 Apr 2017,2.0,415.0,12,saas,7,5800000.0,N/A,N/A,0.01,2226,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
spacechain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,76,0,N/A,N/A,11129000,-0.11,-0.09,-1.35,-0.97,-0.145,-15.0,-0.01,-0.14
flash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,2437,-0.03,0.05,0.72,0.94,0.136,19.0,0.016,-0.07
grid+,N/A,N/A,N/A,N/A,12,blockchain,N/A,32226790.0,89000000.0,0.36,1.15,1243,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
wetrust,2 Mar 2017,14 Apr 2017,43.0,405.0,1,saas,9,4978366.0,N/A,N/A,0.06,N/A,0,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
blocktix,7 Jul 2017,25 Jul 2017,18.0,303.0,5,entertainment,7,6981328.0,7500000.0,0.93,0.24,N/A,0,5959,-0.17,11878,0.29,0.07,1.17,1.46,0.057,8.5,0.019,-0.045
aichain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,949705,-0.21,-0.19,-3.08,-2.58,-0.167,-0.5,-0.005,-0.075
diamond,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,20,0,N/A,N/A,0.0,0.19,0.08,1.3,1.44,-0.243,5.5,0.008,-0.025
ormeus coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
florincoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0.0,0.32,0.17,2.66,2.77,-0.078,-1.5,0.013,-0.035
indahash,29 Nov 2017,20 Dec 2017,21.0,155.0,5,saas,15,42715825.0,67000000.0,0.64,0.24,11894,0,9868,1.56,3113160,-0.2,-0.11,-1.73,-1.37,-0.306,14.0,-0.012,-0.05
envion,15 Dec 2017,14 Jan 2018,30.0,130.0,6,blockchain,12,100000000.0,150000000.0,0.67,1.0,22666,0,21326,-0.04,168394,-0.22,-0.13,-2.0,-1.28,-0.292,0.5,-0.015,-0.075
gridcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,798,-0.13,-0.04,-0.6,-0.25,0.014,6.5,0.007,-0.035
vericoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,19234,0.35,0.23,3.69,3.77,-0.108,8.5,0.013,-0.035
hydrogen,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,130253,0.35,2.82,5.63,5.78,-1.248,-8.0,0.117,-0.18
blackmoon,12 Sep 2017,12 Oct 2017,30.0,224.0,12,blockchain,14,30000000.0,30000000.0,1.0,1.1,3530,0,6402,-0.23,592273,0.01,-0.11,-1.71,-0.99,-0.08,-7.0,0.004,-0.1
dadi,29 Jan 2018,29 Jan 2018,0.0,115.0,4,fintech,15,29000000.0,29000000.0,1.0,0.5,22557,0,29492,-0.11,2381560,-0.21,-0.05,-0.8,-0.15,0.041,1.0,-0.006,-0.07
moeda loyalty...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pascal coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bitusd,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,3784,-0.03,0.02,0.29,2.34,-0.036,-5.0,0.002,-0.01
dimcoin,1 Jul 2017,27 Aug 2017,57.0,270.0,11,fintech,20,14005746.0,13500000.0,1.0,0.01,3060,0,N/A,23.56,1409400,-0.49,-0.22,-3.44,-3.14,0.138,-2.0,-0.007,-0.08
omni,N/A,N/A,N/A,N/A,12,blockchain,N/A,5459425.0,25000000.0,0.22,0.46,25213,0,N/A,231.96,0.0,0.02,-0.01,-0.21,0.19,0.007,2.0,0.008,-0.09
bitqy,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,10844,0.02,0.15,2.44,2.56,0.409,47.0,0.029,0.18
polybius,31 May 2017,30 Jun 2017,30.0,328.0,5,fintech,11,62956169.0,100000000.0,0.63,10.0,3578,0,10,-0.19,506294,-0.02,0.07,1.03,1.34,-0.362,-10.0,0.006,-0.05
u.cash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
restart energ...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
credo,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,20398,0.14,0.08,1.22,1.4,0.312,-6.0,0.033,0.01
nework,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,4777680,0.12,-0.05,-0.83,-0.4,-0.364,5.0,0.009,-0.06
hi mutual soc...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
carvertical,26 Dec 2017,4 Apr 2018,99.0,50.0,5,saas,20,19911150.0,19900000.0,1.0,0.01,13523,0,N/A,0.46,451064,-0.05,-0.07,-1.18,-0.85,-0.731,6.5,-0.009,-0.045
atmchain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
radium,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,1549,0,N/A,N/A,2668,0.23,0.27,4.29,4.44,-0.131,7.5,0.015,-0.025
paccoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,79,0,N/A,N/A,47,-0.02,0.09,1.42,1.58,-16.797,6.0,0.562,-0.05
alqo,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,90795,0.13,0.29,4.58,4.78,0.142,12.0,0.019,-0.01
selfkey,14 Jan 2018,14 Jan 2018,0.0,130.0,7,fintech,48,21776392.0,21800000.0,1.0,0.01,11492,0,0,5.65,31248100,-0.52,-0.26,-4.06,-3.57,-0.254,6.0,-0.014,-0.05
aphelion,15 Nov 2017,7 Dec 2017,22.0,168.0,12,fintech,12,4780661.0,6700000.0,0.71,0.2,14331,0,14284,0.46,63598,0.25,1.96,3.93,4.19,0.327,9.5,0.035,-0.005
covesting,24 Nov 2017,15 Jan 2018,52.0,129.0,7,saas,12,18750000.0,18800000.0,1.0,1.44,8913,0,10031,1.15,328108,-0.21,-0.12,-1.95,-1.49,-0.236,9.0,-0.005,-0.02
blockport,27 Jan 2018,31 Jan 2018,4.0,117.0,12,fintech,N/A,15000000.0,15000000.0,1.0,0.35,27710,0,N/A,0.25,1024180,-0.0,0.07,1.04,1.43,-0.186,-0.5,0.002,-0.065
measurable da...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lala world,N/A,N/A,N/A,N/A,7,saas,12,N/A,N/A,N/A,N/A,839,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oax,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,49180,0.54,0.11,1.79,2.09,-0.107,10.0,0.009,-0.05
cappasity,22 Feb 2018,22 Mar 2018,28.0,63.0,1,saas,5,2301451.0,20000000.0,0.12,0.01,59883,0,8716,2.31,887638,0.12,0.17,2.68,2.84,0.48,5.0,0.014,-0.06
oneroot network,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
te-food,22 Feb 2018,22 Mar 2018,28.0,63.0,6,fintech,19,19100000.0,19100000.0,1.0,0.05,10610,0,9853,-0.45,302268,-0.04,0.09,1.4,1.94,-0.253,-11.5,0.004,-0.075
divi,25 Oct 2017,21 Nov 2017,27.0,184.0,12,other,15,2592064.0,2000000.0,1.0,0.62,2180,0,N/A,0.36,56068,0.17,0.24,3.82,4.13,-0.198,4.5,0.015,-0.015
monetaryunit,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,13,0.23,0.11,1.74,1.83,0.016,9.5,0.032,-0.025
echolink,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,64488,0,N/A,N/A,14911900,-0.04,-0.09,-1.35,-1.1,0.231,10.5,-0.003,-0.065
numeraire,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,4354180,0.08,0.08,1.28,1.53,-0.103,3.5,0.004,-0.075
latoken,22 Aug 2017,10 Oct 2017,49.0,226.0,7,fintech,35,18880673.0,40000000.0,0.47,0.3,5537,0,7928,-0.06,163778,-0.05,0.11,1.73,2.09,-0.042,5.0,0.006,-0.04
uquid coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
revolutionvr,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,162143,-0.3,-0.1,-1.66,-1.36,0.085,6.5,0.005,-0.055
hacken,31 Oct 2017,30 Nov 2017,30.0,175.0,2,blockchain,8,70000002.0,N/A,N/A,1.0,1956,0,8842,5.77,320959,0.16,0.07,1.05,1.31,0.129,5.0,0.008,-0.09
swarm,N/A,N/A,N/A,N/A,1,other,10,5370258.0,55000000.0,0.1,27.42,2690,0,N/A,-1.0,228,-0.12,0.06,0.93,1.18,0.661,-42.0,0.051,-0.47
sharder,22 Feb 2018,22 Mar 2018,28.0,63.0,12,other,N/A,N/A,N/A,N/A,0.04,10784,0,N/A,1.55,3209300,-0.17,-1.36,-2.71,-2.3,0.084,-10.5,-0.022,-0.135
bismuth,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,100579,0.11,0.11,1.77,2.09,-0.103,5.0,0.015,-0.02
deviantcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,20697,0.55,4.33,8.67,9.08,-0.092,-24.0,0.051,-0.08
sibcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,15,0.03,0.1,1.55,1.96,-0.152,7.5,0.011,-0.055
solarcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,1988,-0.07,0.02,0.37,0.71,-0.057,1.5,0.013,-0.055
rise,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,42224,0.18,0.03,0.47,1.08,0.052,-32.0,0.017,0.05
rebl,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,1072350,-0.18,-0.12,-1.98,-1.58,0.134,10.5,-0.002,-0.005
expanse,N/A,N/A,N/A,N/A,12,other,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,3473,-0.06,-0.08,-1.31,-1.04,-0.13,4.0,0.034,-0.04
bitclave,29 Nov 2017,29 Nov 2017,0.0,176.0,1,saas,19,25547000.0,25500000.0,1.0,0.1,10918,0,22625,0.5,957302,0.12,-0.01,-0.23,0.07,0.009,7.0,-0.003,-0.05
nper,19 Jan 2018,31 Jan 2018,12.0,113.0,8,saas,15,N/A,N/A,N/A,0.2,N/A,0,4651,0.68,4371660,-0.33,-0.57,-1.14,-0.71,3.219,10.0,0.016,-0.02
remme,13 Feb 2018,22 Feb 2018,9.0,91.0,7,saas,20,20000000.0,17500000.0,1.0,0.04,16744,0,5640,-0.21,587552,-0.34,-0.0,-0.05,0.52,0.056,27.5,-0.0,0.155
e-dinar coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
databits,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,87,0.47,0.31,4.88,5.3,-0.151,4.0,0.01,-0.06
rubycoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,270,0.22,0.16,2.49,2.61,0.101,7.0,0.014,-0.04
zap,21 Oct 2017,20 Nov 2017,30.0,185.0,7,blockchain,23,2827944.0,32200000.0,0.09,0.19,N/A,0,N/A,4.06,899137,-0.1,-0.06,-1.01,-0.65,-0.296,15.5,-0.007,0.025
nebula ai,31 Mar 2018,20 Apr 2018,20.0,34.0,1,other,20,6000000.0,N/A,N/A,N/A,5649,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
rialto,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,51162,0.27,0.2,3.11,3.35,-0.162,-3.0,0.013,-0.04
sureremit,10 Jan 2018,10 Feb 2018,31.0,103.0,1,saas,11,10000000.0,10000000.0,1.0,1.0,2038,0,4391,-0.96,35294,-0.22,0.02,0.31,0.74,-0.52,-3.0,0.003,-0.1
banyan network,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
neumark,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,351032,0.35,0.12,1.96,2.22,-0.042,2.5,0.008,-0.035
polyswarm,20 Feb 2018,22 Mar 2018,30.0,63.0,1,saas,7,25940000.0,50000000.0,0.52,0.02,7820,0,16,-0.71,25413,0.41,3.28,6.56,7.01,0.024,-4.0,0.016,-0.1
mark.space,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
smartlands,2 Nov 2017,20 Nov 2017,18.0,185.0,12,fintech,11,1753698.0,25000000.0,0.07,1.0,1690,0,1934,-0.8,102013,0.24,0.16,2.52,2.63,0.216,0.0,0.052,-0.04
nolimitcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,1086,-0.16,0.07,1.08,1.22,-0.105,1.0,0.03,-0.04
domraider,12 Sep 2017,9 Oct 2017,27.0,227.0,5,saas,33,67200000.0,67200000.0,1.0,0.12,364,0,151,-0.46,13888,0.02,0.09,1.36,1.67,-0.034,5.0,0.007,-0.05
matryx,13 Sep 2017,12 Oct 2017,29.0,224.0,1,saas,15,1984347.0,9000000.0,0.22,0.29,1563,0,110,1.5,1031,0.21,0.11,1.8,1.94,-0.206,10.0,0.021,-0.07
b2bx,2 Oct 2017,17 Nov 2017,46.0,188.0,2,saas,22,8078602.0,29500000.0,0.27,0.74,1987,0,3889,1.38,144393,-0.29,0.02,0.3,0.57,-0.276,64.5,0.015,0.435
linda,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,256,0,N/A,N/A,9656,0.35,0.23,3.71,3.88,-0.433,6.5,0.036,-0.035
rentberry,5 Dec 2017,28 Feb 2018,85.0,85.0,7,real estate,25,27500000.0,30000000.0,0.92,0.35,15053,0,20036,-0.81,294933,0.23,1.86,3.71,3.99,-0.294,14.0,0.01,-0.05
pareto network,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
heronode,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,551160,-2.63,-4.56,-9.12,-7.98,0.554,-2.5,-0.023,-0.035
newyorkcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,66,0.25,0.12,1.98,2.65,3.936,1.0,0.395,-0.05
maecenas,7 Sep 2017,8 Oct 2017,31.0,228.0,4,saas,8,15375432.0,18900000.0,0.81,0.64,935,0,2243,-0.28,11868,0.09,0.17,2.68,2.89,-0.206,-4.0,0.023,-0.08
lomocoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,24527,-0.03,0.04,0.6,1.65,-0.136,3.5,0.027,-0.065
quantum,15 Apr 2017,15 May 2017,30.0,374.0,5,blockchain,5,4122700.0,N/A,N/A,0.05,N/A,0,9528,5.73,136233,0.19,0.06,0.93,1.26,-0.068,6.5,0.005,-0.045
rivetz,10 Aug 2017,10 Sep 2017,31.0,256.0,1,saas,16,18653920.0,20000000.0,0.93,0.88,1605,0,9709,-0.44,31436,-0.0,-0.04,-0.59,-0.19,-0.001,7.0,0.008,-0.06
swissborg,7 Dec 2017,10 Jan 2018,34.0,134.0,6,blockchain,13,50000000.0,50000000.0,1.0,0.1,4771,0,11144,0.03,115322,-0.35,-0.18,-2.92,-2.32,-0.204,9.5,-0.011,-0.035
elixir,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,230357,0.29,0.16,2.48,2.64,-0.094,-1.0,0.027,-0.11
profile utili...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oxycoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,95485,0.0,0.09,1.47,1.76,0.001,1.0,0.01,-0.04
polis,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,355546,0.09,0.01,0.1,0.37,-0.378,7.5,-0.001,-0.025
axpire,8 Jan 2018,12 Jan 2018,4.0,132.0,1,other,15,20000000.0,20000000.0,1.0,0.1,8069,0,6366,0.32,292608,-0.23,-0.15,-2.36,-1.99,-0.608,-4.0,-0.008,-0.09
olympus labs,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bitsend,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,4409,0.15,0.14,2.16,2.24,0.14,4.5,0.052,-0.035
nimiq exchang...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
clams,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,80,-0.01,0.03,0.44,0.64,-0.093,3.5,0.009,-0.035
playkey,1 Nov 2017,1 Dec 2017,30.0,174.0,2,entertainment,16,10512361.0,105600000.0,0.1,1.76,8088,0,7479,-0.68,9317,0.43,0.13,2.14,2.39,-0.21,-4.0,0.012,0.0
swarm city,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sprouts,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,349,0,N/A,N/A,132,0.14,0.15,2.43,2.53,7.661,-14.5,0.489,-0.045
etheroll,13 Feb 2017,27 Feb 2017,14.0,451.0,12,other,N/A,36349723.0,N/A,N/A,0.07,N/A,0,2143,15.86,33962,0.21,0.13,2.02,2.02,-4.814,7.0,2.646,-0.04
shipchain,N/A,N/A,N/A,N/A,12,other,29,30000000.0,30000000.0,1.0,0.34,30609,0,131,-0.16,49895,-0.41,-0.07,-1.13,-0.68,-0.136,-3.5,-0.014,-0.205
guaranteed et...,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
luxcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,42049,0.04,0.21,3.32,3.54,0.062,6.5,0.016,-0.065
locktrip,29 Oct 2017,30 Nov 2017,32.0,175.0,5,other,20,4000000.0,N/A,N/A,0.55,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
friendz,1 Mar 2018,20 Mar 2018,19.0,65.0,6,fintech,18,13754758.0,50300000.0,0.27,0.07,71860,0,55488,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fluz fluz,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hubii network,17 Aug 2017,31 Aug 2017,14.0,266.0,7,telecommunications,13,6500000.0,N/A,N/A,0.39,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
myriad,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,67637,-0.13,0.05,0.84,1.07,-0.051,6.5,0.009,-0.045
paragon,15 Sep 2017,15 Oct 2017,30.0,221.0,1,other,12,6000000.0,100000000.0,0.06,1.0,3874,0,N/A,-0.35,284896,-0.16,0.01,0.14,0.41,-0.175,12.0,-0.0,-0.02
titanium bar,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
coinfi,8 Feb 2018,18 Feb 2018,10.0,95.0,3,saas,15,15000000.0,15000000.0,1.0,0.15,19815,0,4914,1.38,21603900,-0.18,-0.16,-2.59,-2.15,-0.191,13.5,-0.008,0.005
sharex,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,366,0,N/A,N/A,2610280,-0.17,-0.11,-1.69,-1.35,0.237,75.5,0.002,0.475
icos,15 Aug 2017,15 Sep 2017,31.0,251.0,2,blockchain,23,14600000.0,N/A,N/A,44.38,1833,0,4984,0.03,15683,0.1,0.05,0.76,1.14,-0.169,18.0,0.003,-0.0
bee token,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
musicoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,20112,0.28,0.21,3.28,3.41,-0.079,2.5,0.019,-0.055
oyster shell,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
